DATE,HIGHTEMP,LOWTEMP,HUMIDITY,DESCRIPTION
11/20/2017,75,-41,71.46,lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui
12/3/2017,2,10,43.78,nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam
5/12/2018,104,59,3.62,ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus
4/29/2021,5,89,64.82,odio condimentum id luctus nec molestie sed justo pellentesque viverra
4/2/2020,128,131,23.5,libero nam dui proin leo odio porttitor id consequat in consequat
12/20/2020,129,48,89.35,pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat
3/2/2021,-33,11,45.28,nullam orci pede venenatis non sodales sed tincidunt eu felis
7/12/2017,76,97,80.34,in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec
10/10/2020,23,23,64.77,sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus
5/15/2021,60,82,27.45,eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus
1/21/2022,87,27,80.29,vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis
11/20/2018,90,124,6.02,aliquam erat volutpat in congue etiam justo etiam pretium iaculis
3/5/2022,32,71,16.96,diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra magna
12/1/2017,33,-13,32.93,venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede
8/20/2018,60,42,90.76,et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi
8/9/2019,38,-17,21.43,mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem
9/22/2017,-18,-37,67.26,ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel
5/8/2018,72,23,58.65,odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit
11/19/2017,52,136,31.74,curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet
9/19/2021,109,101,37.4,nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla
10/8/2017,140,74,26.95,id pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante
10/10/2018,103,87,71.92,ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus in sagittis dui
7/7/2021,106,49,75.2,ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae
4/11/2019,38,60,36.86,faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit
2/10/2021,89,59,55.5,consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae
11/24/2017,10,66,11.44,a libero nam dui proin leo odio porttitor id consequat in consequat ut nulla sed
10/1/2019,-21,-50,76.8,nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum
12/28/2017,91,85,81.7,posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel
11/22/2017,134,17,44.77,maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas
7/10/2019,104,17,42.99,eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus
6/9/2019,71,103,78.86,ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate
7/27/2018,113,-8,42.26,non velit donec diam neque vestibulum eget vulputate ut ultrices vel
9/12/2018,-31,-7,94.29,augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst
2/16/2020,121,5,73.36,quisque erat eros viverra eget congue eget semper rutrum nulla
7/29/2018,-5,-7,20.34,aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis
5/1/2018,76,85,69.39,lectus pellentesque at nulla suspendisse potenti cras in purus eu magna
12/22/2019,58,2,21.44,eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh
9/29/2017,-40,6,30.36,purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis
3/8/2018,131,134,97.29,nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus
12/7/2021,44,25,99.19,dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac
4/4/2021,26,-16,70.7,faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut
10/31/2017,71,135,61.7,turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam
9/3/2021,78,-46,31.86,elit proin risus praesent lectus vestibulum quam sapien varius ut blandit
12/28/2019,-10,103,9.35,cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam
10/24/2019,89,52,39.26,suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus sit
6/8/2018,-38,89,32.98,id luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et
1/10/2020,117,32,89.97,nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum
3/14/2018,62,0,59.12,consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede
5/9/2021,5,104,58.92,cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel
6/10/2019,45,107,84.21,fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam
9/12/2020,105,-25,83.88,posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor
12/21/2017,14,-3,39.81,praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante ipsum primis in faucibus
2/15/2022,132,134,16.24,ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis
9/11/2020,124,98,44.92,mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at
8/26/2019,84,13,94.59,pede ac diam cras pellentesque volutpat dui maecenas tristique est et
3/4/2022,22,15,62.13,accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam
10/27/2021,37,21,50.25,nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque
6/21/2020,47,-6,61.97,sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante
7/12/2020,4,4,62.67,felis ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam
6/13/2020,128,-27,24.84,metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci
2/6/2020,23,-12,24.09,semper rutrum nulla nunc purus phasellus in felis donec semper sapien
1/7/2018,-45,136,87.42,nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros
5/19/2021,-39,84,65.1,suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis
7/7/2018,106,-1,58.24,faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio
11/24/2019,100,2,91.34,posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar
3/16/2022,-4,82,19.08,pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut
3/5/2021,96,82,88.17,libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt
4/23/2020,56,44,72.29,risus dapibus augue vel accumsan tellus nisi eu orci mauris
10/22/2021,63,47,92.5,nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum
11/21/2017,108,118,4.97,lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi
4/6/2020,98,27,75.52,malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit
10/15/2018,92,96,2.51,pede ac diam cras pellentesque volutpat dui maecenas tristique est et
7/19/2020,102,27,90.35,sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean
10/22/2020,-30,34,18.75,ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at
2/27/2021,49,56,88.36,duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in
6/16/2018,118,34,77.34,in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum
3/13/2021,122,1,81.89,eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia
9/4/2017,14,-4,83.88,pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in
10/6/2018,10,-25,71.58,a libero nam dui proin leo odio porttitor id consequat in consequat ut nulla sed accumsan felis ut
1/9/2022,-43,106,8.11,justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id
3/12/2021,19,65,46.43,suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum
6/21/2019,82,-25,78.86,penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et
7/7/2020,88,77,41.02,posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam
1/12/2018,73,-20,1.03,duis at velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium
3/14/2019,82,79,48.47,in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin
4/9/2021,42,5,62.89,id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus
10/22/2017,111,86,29.11,duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam
7/10/2021,-35,19,33.49,condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales
11/18/2017,58,-23,12.52,sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus
4/22/2021,135,51,55.39,vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl
11/26/2019,-48,130,38.46,id luctus nec molestie sed justo pellentesque viverra pede ac diam cras
11/4/2021,24,13,28.72,curae duis faucibus accumsan odio curabitur convallis duis consequat dui
7/3/2018,115,130,44.62,in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget
7/30/2021,59,125,48.1,nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam
12/29/2021,102,105,86.65,sem praesent id massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in
7/24/2021,126,-8,16.28,nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac
11/9/2019,47,52,31.09,dui vel nisl duis ac nibh fusce lacus purus aliquet at
6/22/2018,24,68,7.78,a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue
1/10/2020,19,15,25.75,ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue
2/1/2018,28,-28,65.48,amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis
8/14/2021,68,-16,80.07,vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc
4/20/2020,-43,108,1.86,elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium
3/11/2022,20,18,53.28,dui vel sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula
8/7/2021,97,32,96.98,pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo etiam pretium
9/11/2018,-36,69,65.95,sapien a libero nam dui proin leo odio porttitor id consequat in consequat ut nulla sed accumsan felis
11/9/2020,87,-49,36.43,nulla ultrices aliquet maecenas leo odio condimentum id luctus nec
10/21/2021,123,25,76.59,vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis
2/26/2020,92,65,48.15,rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo
12/5/2018,-31,83,72.99,pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis
6/6/2018,-11,-50,82.91,a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet
11/9/2017,35,109,37.81,elementum ligula vehicula consequat morbi a ipsum integer a nibh
1/15/2019,4,114,47.09,lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit
11/2/2019,86,52,50.84,pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus sit
3/17/2021,112,111,39.45,quam pede lobortis ligula sit amet eleifend pede libero quis orci
6/11/2020,126,32,82.02,justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas
11/17/2019,69,-15,94.47,justo eu massa donec dapibus duis at velit eu est congue elementum in
3/13/2018,136,38,57.08,lectus in est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc
8/8/2017,11,25,70.56,ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac
5/21/2018,-43,47,84.27,accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean
7/11/2019,106,19,28.08,mi in porttitor pede justo eu massa donec dapibus duis at velit
12/15/2021,24,3,42.58,dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum
2/16/2022,-5,133,72.2,pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis
10/14/2019,71,121,18.37,donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices
11/13/2021,57,58,90.53,at velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum
12/22/2021,84,97,16.17,tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer
2/5/2018,122,68,56.18,erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam
11/5/2020,45,-33,69.93,amet cursus id turpis integer aliquet massa id lobortis convallis
2/11/2020,51,92,29.62,ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl
1/23/2022,52,-38,66.88,praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla
8/12/2017,-22,94,25.21,metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci
11/5/2021,69,-20,38.41,dolor sit amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut
6/18/2018,-27,79,56.87,dolor sit amet consectetuer adipiscing elit proin risus praesent lectus vestibulum
6/20/2020,128,71,13.62,eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras
12/6/2019,-7,134,53.02,enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper
9/20/2018,-34,7,53.23,libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis
6/3/2020,123,61,23.42,sapien cum sociis natoque penatibus et magnis dis parturient montes
7/14/2017,132,-32,51.34,ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur
9/18/2020,86,-43,30.98,interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa donec dapibus duis
2/9/2022,-43,110,98.9,congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum
7/24/2018,134,67,99.64,massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut
7/28/2018,68,4,3.12,nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel
12/6/2019,105,86,10.08,parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis
1/22/2018,33,47,38.57,libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla
9/19/2019,-38,70,31.31,sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet
8/14/2019,-11,56,58.26,fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue
6/11/2020,-45,42,86.97,vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci
4/16/2018,15,-18,11.37,dui luctus rutrum nulla tellus in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat
12/13/2020,-10,19,62.79,donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit
8/29/2019,124,-12,44.77,blandit mi in porttitor pede justo eu massa donec dapibus duis
5/15/2018,-21,29,12.33,lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas ut
5/26/2020,85,-43,56.03,imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue
9/12/2019,-11,-8,96.76,cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus
2/12/2022,91,119,62.76,pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac
8/26/2021,53,-26,64.53,diam erat fermentum justo nec condimentum neque sapien placerat ante
7/28/2017,131,-7,71.99,at turpis a pede posuere nonummy integer non velit donec diam neque
5/1/2020,112,-20,47.05,ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec
1/29/2021,14,17,55.55,in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis
7/31/2019,12,79,98.92,libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo
7/24/2018,-12,85,23.65,pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus
5/22/2019,21,61,40.15,cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque
5/8/2018,100,-38,8.23,vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam
3/28/2019,-36,99,58.74,est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci
1/18/2021,24,93,73.88,est congue elementum in hac habitasse platea dictumst morbi vestibulum
3/21/2022,49,25,36.69,proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante ipsum primis
2/3/2018,43,-3,8.1,mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis a pede posuere
4/10/2018,46,-6,5.41,sit amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante
2/7/2019,132,56,27.22,sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean
12/2/2021,-13,41,6.17,odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla
11/15/2019,48,134,83.35,elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus
4/7/2021,8,9,53.91,nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed
9/24/2019,82,121,79.32,sollicitudin mi sit amet lobortis sapien sapien non mi integer
4/10/2018,-4,22,3.19,sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque duis bibendum
9/14/2021,96,56,50.55,nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu
8/1/2018,31,79,83.38,rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet justo
5/5/2021,138,47,53.5,sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis convallis
1/13/2018,-11,61,90.13,at turpis a pede posuere nonummy integer non velit donec diam neque vestibulum eget
3/24/2020,7,45,98.7,vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus
6/11/2021,84,31,7.95,rutrum nulla nunc purus phasellus in felis donec semper sapien a libero nam dui
6/8/2020,44,9,85.11,nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in
6/5/2021,3,-45,5.82,amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor
7/30/2020,-6,49,80.56,ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra
12/25/2020,-50,-50,28.36,at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna
1/25/2018,29,28,10.34,viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet
12/14/2017,118,-8,78.44,turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis
4/28/2020,134,78,85.02,phasellus in felis donec semper sapien a libero nam dui proin leo odio
1/31/2018,4,23,64.33,penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis
11/27/2017,96,-14,54.72,integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo
12/1/2021,119,72,10.72,sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean
